+-------------------------------+-------+---------+-----------+
| Material List for placement 'Unnamed'                       |
+-------------------------------+-------+---------+-----------+
| Item                          | Total | Missing | Available |
| Gray Glazed Terracotta        |     8 |       8 |         0 |
| Soul Sand                     |     8 |       7 |         0 |
| Stone Button                  |     8 |       8 |         0 |
| Dark Oak Wood                 |     7 |       7 |         0 |
| Deepslate Tile Slab           |     7 |       7 |         0 |
| Orange Shulker Box            |     7 |       7 |         0 |
| Chiseled Tuff Bricks          |     6 |       6 |         0 |
| Glow Lichen                   |     6 |       6 |         0 |
| Polished Blackstone Button    |     6 |       6 |         0 |
| Polished Deepslate Slab       |     6 |       6 |         0 |
| Small Amethyst Bud            |     6 |       6 |         0 |
| Lantern                       |     5 |       5 |         0 |
| Yellow Concrete               |     5 |       5 |         0 |
| Block of Coal                 |     4 |       4 |         0 |
| Block of Diamond              |     4 |       4 |         0 |
| Crying Obsidian               |     4 |       4 |         0 |
| Dead Brain Coral Fan          |     4 |       4 |         0 |
| Oak Door                      |     4 |       1 |         0 |
| Waxed Copper Trapdoor         |     4 |       4 |         0 |
| Bamboo Fence Gate             |     3 |       3 |         0 |
| Block of Netherite            |     3 |       3 |         0 |
| Magenta Concrete              |     3 |       3 |         0 |
| Purple Concrete               |     3 |       3 |         0 |
| Torch                         |     3 |       3 |         0 |
| Yellow Shulker Box            |     3 |       3 |         0 |
| Block of Emerald              |     2 |       2 |         0 |
| Block of Iron                 |     2 |       2 |         0 |
| Block of Lapis Lazuli         |     2 |       2 |         0 |
| Block of Resin                |     2 |       2 |         0 |
| Coal Ore                      |     2 |       2 |         0 |
| Cobweb                        |     2 |       2 |         0 |
| Copper Ore                    |     2 |       2 |         0 |
| Deepslate Tile Wall           |     2 |       0 |         2 |
| Diamond Ore                   |     2 |       2 |         0 |
| Emerald Ore                   |     2 |       2 |         0 |
| Gold Ore                      |     2 |       2 |         0 |
| Green Concrete                |     2 |       2 |         0 |
| Iron Ore                      |     2 |       2 |         0 |
| Lapis Lazuli Ore              |     2 |       2 |         0 |
| Light Weighted Pressure Plate |     2 |       2 |         0 |
| Magenta Shulker Box           |     2 |       2 |         0 |
| Redstone Ore                  |     2 |       2 |         0 |
| Scaffolding                   |     2 |       2 |         0 |
| Smithing Table                |     2 |       2 |         0 |
| Waxed Block of Copper         |     2 |       2 |         0 |
| Bamboo Pressure Plate         |     1 |       1 |         0 |
| Cake §f(§f§f§f§f§f§f)  |     1 |       1 |         0 |
| Campfire                      |     1 |       1 |         0 |
| Cherry Wood                   |     1 |       1 |         0 |
| Crimson Fence Gate            |     1 |       1 |         0 |
| Dark Oak Sign                 |     1 |       1 |         0 |
| Detector Rail                 |     1 |       1 |         0 |
| Iron Trapdoor                 |     1 |       1 |         0 |
| Light Blue Glazed Terracotta  |     1 |       1 |         0 |
| Magenta Glazed Terracotta     |     1 |       1 |         0 |
| Magenta Stained Glass         |     1 |       1 |         0 |
| Mangrove Trapdoor             |     1 |       1 |         0 |
| Oak Pressure Plate            |     1 |       1 |         0 |
| Oxidized Copper Bulb          |     1 |       1 |         0 |
| Red Glazed Terracotta         |     1 |       1 |         0 |
| Sea Lantern                   |     1 |       1 |         0 |
| Spruce Fence Gate             |     1 |       1 |         0 |
| Spruce Wood                   |     1 |       1 |         0 |
| Warped Trapdoor               |     1 |       1 |         0 |
| Waxed Cut Copper Slab         |     1 |       1 |         0 |
| Waxed Oxidized Copper Bulb    |     1 |       1 |         0 |
+-------------------------------+-------+---------+-----------+
| Item                          | Total | Missing | Available |
+-------------------------------+-------+---------+-----------+
